iter	Logloss
0	0.6278705702
1	0.5763021858
2	0.5400311828
3	0.507403204
4	0.4858664926
5	0.4614798891
6	0.4477022336
7	0.4353425074
8	0.4209949091
9	0.411568227
10	0.4035570579
11	0.3944947121
12	0.3880429134
13	0.3831489217
14	0.3781165745
15	0.3742059903
16	0.3705973183
17	0.3674296848
18	0.3648277995
19	0.3625365327
20	0.3587453118
21	0.35593939
22	0.3547965547
23	0.3532099505
24	0.3509031048
25	0.3496090298
26	0.3489055823
27	0.3474723449
28	0.3463087942
29	0.344945495
30	0.3437984054
31	0.3427093696
32	0.3420672206
33	0.341430532
34	0.3406476411
35	0.3393098341
36	0.3386026205
37	0.3380028982
38	0.3373986537
39	0.3370659004
40	0.336348114
41	0.3356175795
42	0.335136762
43	0.3347040359
44	0.3344781711
45	0.3336188599
46	0.3331106924
47	0.3327185388
48	0.3324588784
49	0.3322929151
50	0.3317010459
51	0.3312084139
52	0.3308528219
53	0.3306704045
54	0.3305058163
55	0.3301490177
56	0.3297058538
57	0.3294780044
58	0.3292239471
59	0.3290398221
60	0.3288781173
61	0.3284377423
62	0.328186605
63	0.3277553076
64	0.3274543283
65	0.3273814774
66	0.327249908
67	0.3270317675
68	0.326923672
69	0.3267756574
70	0.3266244012
71	0.3264741543
72	0.3264086256
73	0.3259452324
74	0.3257278959
75	0.3253911392
76	0.3253473522
77	0.3252678446
78	0.3250848172
79	0.3248201898
80	0.3245982062
81	0.324598201
82	0.3243545453
83	0.3241166346
84	0.3240197921
85	0.3239397952
86	0.323788462
87	0.3235773792
88	0.3234410224
89	0.3233005145
90	0.3231515222
91	0.3230154851
92	0.322925612
93	0.3227506797
94	0.3226557307
95	0.3226409712
96	0.3225624701
97	0.3223042597
98	0.3222809563
99	0.3221394536
100	0.3220722478
101	0.3219576745
102	0.3215891512
103	0.3213226324
104	0.3212868503
105	0.3211297384
106	0.3209530414
107	0.320941503
108	0.3208616967
109	0.3208398523
110	0.3204408651
111	0.3204057458
112	0.3202726878
113	0.3200947077
114	0.3199533941
115	0.3196616566
116	0.319646769
117	0.3196109216
118	0.3195606972
119	0.3194469413
120	0.3192423769
121	0.3192366874
122	0.3191913948
123	0.3190081654
124	0.3189991692
125	0.3189472093
126	0.3188309931
127	0.3187142391
128	0.3185295584
129	0.3184282252
130	0.3183104466
131	0.3182524746
132	0.3182214329
133	0.3182012898
134	0.3181960309
135	0.3180974113
136	0.3180429699
137	0.3180137596
138	0.3178102959
139	0.3176637755
140	0.3176396101
141	0.317532612
142	0.3174394278
143	0.317283357
144	0.3172058264
145	0.3171673225
146	0.3171399826
147	0.31713535
148	0.3170496991
149	0.316989958
150	0.3169456697
151	0.3169287915
152	0.316925559
153	0.3168046735
154	0.3167750727
155	0.3166376845
156	0.3166072016
157	0.3164915036
158	0.3164763654
159	0.3164652337
160	0.3163952562
161	0.3163531378
162	0.3163069027
163	0.3162820701
164	0.3162589232
165	0.3161750894
166	0.3160309395
167	0.3160064925
168	0.3159391767
169	0.3159360946
170	0.315870731
171	0.3157527838
172	0.3157497525
173	0.3155545214
174	0.3155516882
175	0.3155368887
176	0.3154738217
177	0.3154374853
178	0.3154048256
179	0.3152798653
180	0.3152502876
181	0.3151626057
182	0.3151551627
183	0.3151527381
184	0.3150682074
185	0.3150423422
186	0.3150377886
187	0.3149655226
188	0.314846561
189	0.3148191148
190	0.3147936833
191	0.3147319711
192	0.3146051506
193	0.3146027975
194	0.3145105858
195	0.3144444574
196	0.3144040325
197	0.3142340291
198	0.314142337
199	0.3140927418
200	0.3140471439
201	0.3139734017
202	0.3139502253
203	0.3138355495
204	0.3138334286
205	0.3137991171
206	0.3136470395
207	0.3135907755
208	0.3135808891
209	0.3134146869
210	0.313317327
211	0.3132171889
212	0.3130892233
213	0.3130040219
214	0.312909191
215	0.3129070537
216	0.3127633463
217	0.3127623804
218	0.3126740596
219	0.3124430071
220	0.3124351217
221	0.3124334866
222	0.3124276738
223	0.3124251868
224	0.3123891893
225	0.3123008446
226	0.3122620334
227	0.3122409945
228	0.3121237387
229	0.3121207869
230	0.312009114
231	0.3119544357
232	0.3119530087
233	0.3118522738
234	0.311845476
235	0.3117205064
236	0.3117197248
237	0.3116736673
238	0.3116059656
239	0.3115551879
240	0.3114610973
241	0.3114444409
242	0.3113742448
243	0.3112559067
244	0.3111431866
245	0.3110222666
246	0.3110071453
247	0.3109589209
248	0.3108210864
249	0.3107161962
250	0.3106955977
251	0.3105733941
252	0.3105230345
253	0.3105216102
254	0.3104863857
255	0.3103926597
256	0.3102840866
257	0.3101493446
258	0.3101264476
259	0.3100553603
260	0.3100251327
261	0.3099693201
262	0.3098587427
263	0.3098319142
264	0.3098304342
265	0.3097526188
266	0.3097485622
267	0.3097439405
268	0.3096718356
269	0.3096692431
270	0.3096213836
271	0.3095149602
272	0.309434652
273	0.3093436787
274	0.3092707214
275	0.3091952851
276	0.309189582
277	0.3091887304
278	0.3091487638
279	0.3091469531
280	0.3090454192
281	0.3089710389
282	0.3089268055
283	0.3089240599
284	0.3088639356
285	0.3087230197
286	0.3087198073
