iter	Passed	Remaining
0	3	1844
1	6	1783
2	9	1803
3	12	1803
4	16	1794
5	19	1792
6	22	1812
7	26	1803
8	28	1768
9	32	1775
10	35	1799
11	38	1777
12	41	1758
13	44	1756
14	47	1736
15	50	1729
16	53	1716
17	56	1701
18	59	1683
19	62	1682
20	65	1678
21	68	1666
22	70	1658
23	74	1659
24	76	1648
25	79	1640
26	82	1626
27	85	1623
28	88	1622
29	91	1614
30	94	1614
31	97	1610
32	100	1614
33	103	1610
34	107	1609
35	109	1603
36	112	1598
37	115	1594
38	119	1598
39	122	1601
40	125	1597
41	129	1595
42	132	1593
43	135	1595
44	139	1594
45	142	1590
46	145	1586
47	148	1582
48	151	1581
49	154	1576
50	157	1571
51	159	1565
52	162	1561
53	166	1560
54	168	1553
55	172	1554
56	175	1548
57	178	1545
58	181	1540
59	184	1536
60	187	1534
61	189	1529
62	193	1526
63	196	1522
64	199	1519
65	201	1514
66	205	1512
67	208	1510
68	211	1506
69	214	1501
70	217	1498
71	220	1495
72	222	1490
73	226	1488
74	229	1488
75	233	1487
76	236	1485
77	238	1479
78	241	1476
79	245	1478
80	248	1475
81	250	1465
82	253	1461
83	256	1459
84	260	1457
85	263	1453
86	266	1452
87	269	1448
88	272	1445
89	275	1441
90	278	1439
91	282	1437
92	285	1436
93	288	1431
94	291	1432
95	294	1426
96	297	1422
97	300	1418
98	303	1416
99	306	1413
100	310	1412
101	313	1410
102	316	1406
103	319	1402
104	322	1399
105	325	1396
106	327	1391
107	331	1389
108	335	1392
109	338	1389
110	341	1385
111	345	1385
112	348	1382
113	352	1380
114	355	1378
115	358	1375
116	361	1371
117	364	1369
118	367	1364
119	370	1360
120	373	1357
121	376	1354
122	379	1351
123	382	1347
124	385	1344
125	388	1341
126	391	1338
127	394	1334
128	397	1331
129	400	1328
130	403	1325
131	407	1322
132	410	1320
133	413	1317
134	417	1317
135	420	1315
136	424	1313
137	427	1310
138	430	1306
139	433	1304
140	436	1301
141	440	1298
142	443	1296
143	446	1292
144	449	1290
145	453	1288
146	456	1284
147	459	1282
148	462	1280
149	466	1277
150	469	1275
151	472	1271
152	476	1269
153	479	1266
154	482	1264
155	485	1261
156	488	1257
157	491	1254
158	494	1250
159	497	1247
160	500	1244
161	503	1241
162	506	1237
163	510	1235
164	513	1231
165	516	1228
166	519	1224
167	522	1222
168	525	1219
169	528	1215
170	531	1212
171	535	1210
172	538	1206
173	541	1204
174	544	1200
175	547	1197
176	550	1193
177	553	1191
178	556	1187
179	559	1184
180	562	1181
181	565	1178
182	569	1175
183	572	1172
184	575	1169
185	578	1166
186	581	1162
187	584	1160
188	587	1156
189	590	1153
190	593	1150
191	596	1147
192	600	1145
193	604	1142
194	607	1139
195	610	1136
196	613	1132
197	616	1129
198	619	1127
199	622	1123
200	625	1119
201	628	1117
202	632	1114
203	635	1112
204	638	1109
205	641	1106
206	644	1102
207	648	1101
208	651	1097
209	655	1095
210	658	1092
211	662	1089
212	665	1087
213	668	1084
214	673	1083
215	676	1080
216	679	1077
217	683	1074
218	686	1071
219	689	1068
220	692	1065
221	695	1062
222	699	1059
223	702	1057
224	705	1053
225	708	1050
226	711	1047
227	715	1044
228	718	1042
229	722	1039
230	725	1036
231	729	1033
232	732	1031
233	735	1028
234	738	1024
235	742	1022
236	745	1019
237	749	1016
238	753	1015
239	756	1011
240	759	1008
241	762	1005
242	765	1002
243	768	998
244	772	995
245	775	993
246	779	990
247	782	987
248	785	984
249	788	980
250	791	977
251	794	974
252	797	971
253	800	967
254	804	965
255	807	961
256	810	959
257	814	956
258	817	953
259	820	950
260	823	947
261	826	943
262	830	940
263	833	937
264	836	934
265	839	931
